# ticker	name	theme	role	flags
ASX:STW	SPDR S&P/ASX 200 Fund	00_A	BENCHMARK	required
ASX:IOZ	iShares Core S&P/ASX 200 ETF	00_A	BENCHMARK	required
ASX:VSO	Vanguard MSCI Australian Small Companies Index ETF	00_A	BREADTH_PROXY	required
ASX:WTC	WiseTech Global	10_D	THEME_LEADER
ASX:XRO	Xero	10_D	THEME_LEADER
ASX:TNE	TechnologyOne	10_D	QUALITY_LEADER
ASX:REA	REA Group	10_F	THEME_LEADER
ASX:CAR	CAR Group	10_F	QUALITY_LEADER
ASX:SEK	Seek	10_F	QUALITY_LEADER
ASX:NEC	Nine Entertainment	20_A	THEME_LEADER
ASX:TLS	Telstra Group	20_B	THEME_LEADER
ASX:TPG	TPG Telecom	20_B	QUALITY_LEADER
ASX:WES	Wesfarmers	30_A	ANCHOR
ASX:JBH	JB Hi-Fi	30_A	QUALITY_LEADER
ASX:LOV	Lovisa Holdings	30_A	QUALITY_LEADER
ASX:HVN	Harvey Norman Holdings	30_A	BETA_SATELLITE
ASX:WOW	Woolworths Group	30_B	THEME_LEADER
ASX:COL	Coles Group	30_B	THEME_LEADER
ASX:TWE	Treasury Wine Estates	30_B	QUALITY_LEADER
ASX:A2M	The a2 Milk Company	30_B	QUALITY_LEADER
ASX:ALL	Aristocrat Leisure	30_C	THEME_LEADER
ASX:QAN	Qantas Airways	30_C	QUALITY_LEADER
ASX:FLT	Flight Centre Travel Group	30_C	BETA_SATELLITE
ASX:CBA	Commonwealth Bank of Australia	40_A	ANCHOR
ASX:NAB	National Australia Bank	40_A	THEME_LEADER
ASX:WBC	Westpac Banking Corporation	40_A	THEME_LEADER
ASX:ANZ	ANZ Group Holdings	40_A	QUALITY_LEADER
ASX:TYR	Tyro Payments	40_B	THEME_LEADER
ASX:ZIP	Zip Co	40_B	BETA_SATELLITE
ASX:MQG	Macquarie Group	40_C	THEME_LEADER
ASX:ASX	ASX Limited	40_C	QUALITY_LEADER
ASX:MFG	Magellan Financial Group	40_C	BETA_SATELLITE
ASX:QBE	QBE Insurance Group	40_D	THEME_LEADER
ASX:SUN	Suncorp Group	40_D	QUALITY_LEADER
ASX:IAG	Insurance Australia Group	40_D	QUALITY_LEADER
ASX:CSL	CSL	50_A	ANCHOR
ASX:SIG	Sigma Healthcare	50_A	QUALITY_LEADER
ASX:COH	Cochlear	50_B	THEME_LEADER
ASX:RMD	ResMed	50_B	THEME_LEADER
ASX:PME	Pro Medicus	50_B	QUALITY_LEADER
ASX:SHL	Sonic Healthcare	50_B	QUALITY_LEADER
ASX:ASB	Austal	60_A	THEME_LEADER
ASX:SVW	Seven Group Holdings	60_B	THEME_LEADER
ASX:ALQ	ALS	60_B	QUALITY_LEADER
ASX:MND	Monadelphous Group	60_B	QUALITY_LEADER
ASX:TCL	Transurban Group	60_C	THEME_LEADER
ASX:BXB	Brambles	60_C	THEME_LEADER
ASX:QUB	Qube Holdings	60_C	QUALITY_LEADER
ASX:WDS	Woodside Energy Group	70_A	THEME_LEADER
ASX:STO	Santos	70_A	THEME_LEADER
ASX:APA	APA Group	70_B	THEME_LEADER
ASX:WHC	Whitehaven Coal	70_D	THEME_LEADER
ASX:NHC	New Hope Corporation	70_D	QUALITY_LEADER
ASX:PDN	Paladin Energy	70_D	BETA_SATELLITE
ASX:JHX	James Hardie Industries	80_A	THEME_LEADER
ASX:AMC	Amcor	80_A	QUALITY_LEADER
ASX:ORI	Orica	80_A	QUALITY_LEADER
ASX:ORG	Origin Energy	80_B	THEME_LEADER
ASX:AGL	AGL Energy	80_B	QUALITY_LEADER
ASX:BHP	BHP Group	80_C	ANCHOR
ASX:RIO	Rio Tinto	80_C	THEME_LEADER
ASX:FMG	Fortescue	80_C	THEME_LEADER
ASX:NST	Northern Star Resources	80_C	QUALITY_LEADER
ASX:S32	South32	80_C	QUALITY_LEADER
ASX:EVN	Evolution Mining	80_C	QUALITY_LEADER
ASX:IGO	IGO	80_C	BETA_SATELLITE
ASX:PLS	Pilbara Minerals	80_C	LIQUIDITY_SENSOR
ASX:MIN	Mineral Resources	80_C	LIQUIDITY_SENSOR
ASX:GMG	Goodman Group	90_A	ANCHOR
ASX:SCG	Scentre Group	90_A	QUALITY_LEADER
ASX:SGP	Stockland	90_A	QUALITY_LEADER
ASX:VCX	Vicinity Centres	90_A	BETA_SATELLITE
ASX:GOLD	Global X Physical Gold	00_A	BREADTH_PROXY	ineligible:excluded_instrument_type: a bullion fund is not an observation of this equity market
ASX:VAS	Vanguard Australian Shares Index ETF	00_A	BENCHMARK	ineligible:redundant_with_member: the same broad index is already held twice over
