# ticker	name	theme	role	flags
SSE:510300	沪深300ETF	00_A	BENCHMARK	required
SSE:510050	上证50ETF	00_A	BENCHMARK	required
SZSE:159915	创业板ETF	00_A	BREADTH_PROXY	required
SSE:588000	科创50ETF	00_A	BREADTH_PROXY	
SSE:600519	贵州茅台	10_A	ANCHOR	
SZSE:000858	五粮液	10_A	THEME_LEADER	
SSE:600809	山西汾酒	10_A	QUALITY_LEADER	
SZSE:000568	泸州老窖	10_A	QUALITY_LEADER	
SSE:600887	伊利股份	10_B	THEME_LEADER	
SSE:603288	海天味业	10_B	THEME_LEADER	
SZSE:002714	牧原股份	10_B	QUALITY_LEADER	
SSE:600298	安琪酵母	10_B	QUALITY_LEADER	
SSE:601398	工商银行	20_A	THEME_LEADER	
SSE:600036	招商银行	20_A	THEME_LEADER	
SSE:601288	农业银行	20_A	QUALITY_LEADER	
SSE:601939	建设银行	20_A	QUALITY_LEADER	
SSE:600030	中信证券	20_B	THEME_LEADER	
SZSE:300059	东方财富	20_B	THEME_LEADER	
SSE:600837	海通证券	20_B	BETA_SATELLITE	
SSE:601688	华泰证券	20_B	QUALITY_LEADER	
SSE:601318	中国平安	20_C	THEME_LEADER	
SSE:601628	中国人寿	20_C	QUALITY_LEADER	
SSE:601601	中国太保	20_C	QUALITY_LEADER	
SZSE:300750	宁德时代	30_A	ANCHOR	
SZSE:002460	赣锋锂业	30_A	BETA_SATELLITE	
SZSE:300014	亿纬锂能	30_A	QUALITY_LEADER	
SZSE:002812	恩捷股份	30_A	QUALITY_LEADER	
SSE:601012	隆基绿能	30_B	THEME_LEADER	
SSE:600438	通威股份	30_B	THEME_LEADER	
SZSE:002129	TCL中环	30_B	BETA_SATELLITE	
SSE:688599	天合光能	30_B	QUALITY_LEADER	
SZSE:300124	汇川技术	30_C	THEME_LEADER	
SZSE:002594	比亚迪	40_A	THEME_LEADER	
SSE:601633	长城汽车	40_A	THEME_LEADER	
SSE:600104	上汽集团	40_A	QUALITY_LEADER	
SSE:601127	赛力斯	40_A	LIQUIDITY_SENSOR	
SZSE:002475	立讯精密	40_B	THEME_LEADER	
SSE:601689	拓普集团	40_B	QUALITY_LEADER	
SSE:688981	中芯国际	50_A	THEME_LEADER	
SSE:603501	韦尔股份	50_A	THEME_LEADER	
SSE:603986	兆易创新	50_A	QUALITY_LEADER	
SSE:688012	中微公司	50_A	QUALITY_LEADER	
SZSE:002415	海康威视	50_B	THEME_LEADER	
SZSE:000725	京东方A	50_B	BETA_SATELLITE	
SZSE:002241	歌尔股份	50_B	QUALITY_LEADER	
SSE:688036	传音控股	50_B	QUALITY_LEADER	
SSE:600703	三安光电	50_C	THEME_LEADER	
SSE:600276	恒瑞医药	60_A	THEME_LEADER	
SZSE:000538	云南白药	60_A	QUALITY_LEADER	
SSE:600436	片仔癀	60_A	QUALITY_LEADER	
SSE:688180	君实生物	60_A	BREADTH_PROXY	
SZSE:300760	迈瑞医疗	60_B	THEME_LEADER	
SZSE:300015	爱尔眼科	60_B	QUALITY_LEADER	
SSE:603259	药明康德	60_C	THEME_LEADER	
SSE:601899	紫金矿业	70_A	THEME_LEADER	
SSE:600111	北方稀土	70_A	BETA_SATELLITE	
SSE:603993	洛阳钼业	70_A	QUALITY_LEADER	
SSE:600362	江西铜业	70_A	QUALITY_LEADER	
SSE:601088	中国神华	70_B	THEME_LEADER	
SSE:601857	中国石油	70_B	THEME_LEADER	
SSE:600028	中国石化	70_B	QUALITY_LEADER	
SSE:601225	陕西煤业	70_B	QUALITY_LEADER	
SZSE:002601	龙佰集团	70_C	THEME_LEADER	
SSE:601668	中国建筑	80_A	THEME_LEADER	
SSE:601390	中国中铁	80_A	QUALITY_LEADER	
SSE:601766	中国中车	80_A	QUALITY_LEADER	
SSE:600585	海螺水泥	80_A	QUALITY_LEADER	
SSE:600031	三一重工	80_B	THEME_LEADER	
SZSE:000425	徐工机械	80_B	QUALITY_LEADER	
SSE:600900	长江电力	85_A	ANCHOR	
SSE:601985	中国核电	85_A	QUALITY_LEADER	
SSE:600886	国投电力	85_A	QUALITY_LEADER	
SZSE:002352	顺丰控股	85_B	THEME_LEADER	
SSE:601919	中远海控	85_B	BETA_SATELLITE	
SZSE:000333	美的集团	90_A	THEME_LEADER	
SZSE:000651	格力电器	90_A	THEME_LEADER	
SSE:600690	海尔智家	90_A	QUALITY_LEADER	
SZSE:002050	三花智控	90_A	QUALITY_LEADER	
SSE:601888	中国中免	90_B	THEME_LEADER	
SSE:600009	上海机场	90_B	QUALITY_LEADER	
SSE:600941	中国移动	95_A	THEME_LEADER	
SSE:601728	中国电信	95_A	QUALITY_LEADER	
SSE:600050	中国联通	95_A	QUALITY_LEADER	
SZSE:002230	科大讯飞	95_B	THEME_LEADER	
SSE:688111	金山办公	95_B	QUALITY_LEADER	
SZSE:000001	平安银行	20_A	QUALITY_LEADER	ineligible:redundant_with_member: 该集团已通过 601318 覆盖
SSE:511990	华宝添益	00_A	BREADTH_PROXY	ineligible:excluded_instrument_type: 货币基金不构成对市场的观测
