# ticker	name	theme	role	flags
BINANCE:BTCUSDT.P	Bitcoin Perpetual	00_A	BENCHMARK	required
BINANCE:ETHUSDT.P	Ether Perpetual	00_A	BENCHMARK	required
BINANCE:SOLUSDT.P	Solana Perpetual	00_A	ANCHOR	required
BINANCE:ADAUSDT.P	Cardano	10_A	THEME_LEADER	
BINANCE:AVAXUSDT.P	Avalanche	10_A	THEME_LEADER	
BINANCE:NEARUSDT.P	NEAR Protocol	10_A	QUALITY_LEADER	
BINANCE:APTUSDT.P	Aptos	10_A	QUALITY_LEADER	
BINANCE:SUIUSDT.P	Sui	10_B	THEME_LEADER	
BINANCE:SEIUSDT.P	Sei	10_B	QUALITY_LEADER	
BINANCE:ARBUSDT.P	Arbitrum	11_A	THEME_LEADER	
BINANCE:OPUSDT.P	Optimism	11_A	THEME_LEADER	
BINANCE:POLUSDT.P	Polygon	11_A	QUALITY_LEADER	
BINANCE:STRKUSDT.P	Starknet	11_A	QUALITY_LEADER	
BINANCE:TIAUSDT.P	Celestia	11_B	THEME_LEADER	
BINANCE:UNIUSDT.P	Uniswap	12_A	THEME_LEADER	
BINANCE:DYDXUSDT.P	dYdX	12_A	QUALITY_LEADER	
BINANCE:GMXUSDT.P	GMX	12_A	BREADTH_PROXY	
BINANCE:JUPUSDT.P	Jupiter	12_A	LIQUIDITY_SENSOR	
BINANCE:AAVEUSDT.P	Aave	12_B	THEME_LEADER	
BINANCE:COMPUSDT.P	Compound	12_B	QUALITY_LEADER	
BINANCE:MKRUSDT.P	Maker	12_B	QUALITY_LEADER	
BINANCE:LDOUSDT.P	Lido DAO	12_C	THEME_LEADER	
BINANCE:EIGENUSDT.P	EigenLayer	12_C	QUALITY_LEADER	
BINANCE:PENDLEUSDT.P	Pendle	12_C	QUALITY_LEADER	
BINANCE:ETHFIUSDT.P	Ether.fi	12_C	NEW_LISTING	
BINANCE:ENAUSDT.P	Ethena	12_D	THEME_LEADER	
BINANCE:LINKUSDT.P	Chainlink	13_A	INDEPENDENT_SENSOR	
BINANCE:PYTHUSDT.P	Pyth Network	13_A	INDEPENDENT_SENSOR	
BINANCE:GRTUSDT.P	The Graph	13_B	THEME_LEADER	
BINANCE:FILUSDT.P	Filecoin	14_A	THEME_LEADER	
BINANCE:ARUSDT.P	Arweave	14_A	QUALITY_LEADER	
BINANCE:RENDERUSDT.P	Render	14_B	THEME_LEADER	
BINANCE:FETUSDT.P	Artificial Superintelligence Alliance	14_B	QUALITY_LEADER	
BINANCE:TAOUSDT.P	Bittensor	14_B	LIQUIDITY_SENSOR	
BINANCE:DOTUSDT.P	Polkadot	15_A	THEME_LEADER	
BINANCE:ATOMUSDT.P	Cosmos	15_A	QUALITY_LEADER	
BINANCE:BNBUSDT.P	BNB	20_A	ANCHOR	
BINANCE:CAKEUSDT.P	PancakeSwap	20_A	QUALITY_LEADER	
BINANCE:RAYUSDT.P	Raydium	20_A	QUALITY_LEADER	
BINANCE:XRPUSDT.P	XRP	20_B	THEME_LEADER	
BINANCE:XLMUSDT.P	Stellar	20_B	QUALITY_LEADER	
BINANCE:HBARUSDT.P	Hedera	20_B	QUALITY_LEADER	
BINANCE:ALGOUSDT.P	Algorand	20_B	BREADTH_PROXY	
BINANCE:AXSUSDT.P	Axie Infinity	30_A	THEME_LEADER	
BINANCE:SANDUSDT.P	The Sandbox	30_A	QUALITY_LEADER	
BINANCE:DOGEUSDT.P	Dogecoin	40_A	THEME_LEADER	
BINANCE:SHIBUSDT.P	Shiba Inu	40_A	BETA_SATELLITE	
BINANCE:PEPEUSDT.P	Pepe	40_A	BETA_SATELLITE	
BINANCE:WIFUSDT.P	dogwifhat	40_A	BETA_SATELLITE	
BINANCE:BONKUSDT.P	Bonk	40_B	BETA_SATELLITE	
BINANCE:LTCUSDT.P	Litecoin	50_A	THEME_LEADER	
BINANCE:BCHUSDT.P	Bitcoin Cash	50_A	QUALITY_LEADER	
BINANCE:ETCUSDT.P	Ethereum Classic	50_A	QUALITY_LEADER	
BINANCE:ZECUSDT.P	Zcash	50_B	THEME_LEADER	
BINANCE:ONDOUSDT.P	Ondo	60_A	THEME_LEADER	
BINANCE:USDCUSDT	USD Coin	20_B	QUALITY_LEADER	ineligible:excluded_instrument_type: a stablecoin pair is not an observation
BINANCE:XMRUSDT.P	Monero Perpetual	50_B	THEME_LEADER	ineligible:delisted_or_halted: Binance removed the pair
